아다, 177, 76
바다, 184, 87
하바, 195, 84
마아, 199, 74
아파, 159, 97
가파, 184, 96
파다, 177, 87
나나, 195, 97
차차, 152, 88
나자, 172, 56
차사, 159, 53
타라, 166, 78
마타, 161, 87
하하, 177, 98
자사, 165, 99
자자, 167, 84
타가, 171, 87
다바, 174, 66
사마, 188, 94
나가, 163, 66
타자, 194, 56
차나, 177, 90
파바, 174, 90
가하, 179, 76
카타, 177, 69
나파, 182, 86
다나, 190, 91
마라, 154, 72
다자, 156, 75
하나, 184, 78
카바, 174, 67
라나, 189, 82
타아, 171, 58
바카, 175, 54
나라, 151, 77
파자, 181, 51
아가, 195, 91
사파, 193, 54
아자, 167, 72
파가, 152, 75
차사, 197, 62
다자, 159, 77
파마, 156, 83
파아, 174, 93
가나, 163, 63
타자, 195, 66
라가, 160, 58
나다, 182, 68
사파, 175, 68
마바, 172, 79
카나, 173, 90
바자, 158, 87
라하, 151, 82
파다, 191, 50
라카, 177, 93
나하, 199, 61
다아, 179, 76
아라, 181, 80
라자, 163, 72
라사, 168, 70
하다, 179, 98
다나, 161, 76
사사, 190, 79
다카, 193, 78
라타, 174, 67
라라, 184, 51
라사, 189, 66
타카, 173, 77
라가, 192, 75
하자, 174, 78
자사, 184, 67
바라, 155, 63
아자, 186, 71
하자, 162, 52
사아, 150, 68
사카, 188, 71
나아, 156, 65
바사, 183, 77
아하, 177, 97
가라, 160, 71
마사, 153, 71
마파, 158, 50
바자, 160, 88
파다, 192, 92
아아, 165, 73
가마, 187, 90
다라, 174, 68
바가, 160, 75
아하, 179, 99
아나, 188, 90
하사, 195, 92
라나, 161, 52
사차, 150, 83
파다, 184, 96
자하, 153, 56
차사, 181, 77
나가, 179, 77
하차, 192, 81
라사, 186, 86
차마, 165, 64
카나, 193, 84
나하, 189, 83
가가, 159, 75
아마, 154, 96
마사, 170, 55
가다, 173, 62
바다, 191, 99
아파, 175, 72
다라, 189, 91
자바, 165, 58
사하, 162, 67
바하, 158, 57
바아, 189, 67
자사, 157, 88
카타, 162, 94
아차, 156, 60
카자, 162, 52
사타, 153, 99
아바, 157, 55
카마, 179, 90
파파, 167, 72
가라, 189, 59
가하, 155, 74
카사, 163, 95
카사, 162, 97
파다, 159, 52
나나, 166, 56
사다, 169, 80
카나, 178, 90
파나, 178, 94
카차, 160, 83
